category,full_category,salary_in_usd
Scientist,General Data Scientist,20000
Engineer,Machine Learning Data Engineer,210000
Engineer,Machine Learning Data Engineer,190000
Analyst,General Data Analyst,95000
Analyst,General Data Analyst,70000
Scientist,General Data Scientist,195000
Scientist,General Data Scientist,119000
Scientist,General Data Scientist,216000
Scientist,General Data Scientist,184000
Engineer,Machine Learning Data Engineer,200000
Engineer,Machine Learning Data Engineer,160000
Analyst,General Data Analyst,80000
Analyst,General Data Analyst,70000
Engineer,Business Intelligence Data Engineer,185000
Engineer,Business Intelligence Data Engineer,79600
Analyst,General Data Analyst,73496
Analyst,General Data Analyst,61246
Engineer,General Data Engineer,266450
Engineer,General Data Engineer,177700
Scientist,General Data Scientist,245000
Scientist,General Data Scientist,185000
Engineer,Machine Learning Data Engineer,247500
Engineer,Machine Learning Data Engineer,172200
Scientist,General Data Scientist,222200
Scientist,General Data Scientist,136000
Others,Others,55720
Others,Others,50700
Engineer,General Data Engineer,370000
Engineer,General Data Engineer,200000
Engineer,General Data Engineer,196000
Engineer,General Data Engineer,121000
Engineer,Business Intelligence Data Engineer,202800
Engineer,Business Intelligence Data Engineer,104300
Architect,General Data Architect,135000
Architect,General Data Architect,115000
Engineer,Machine Learning Data Engineer,302000
Engineer,Machine Learning Data Engineer,189000
Analyst,General Data Analyst,65000
Analyst,General Data Analyst,55000
Engineer,Machine Learning Data Engineer,220000
Engineer,Machine Learning Data Engineer,170000
Engineer,Business Intelligence Data Engineer,185000
Engineer,Business Intelligence Data Engineer,79600
Analyst,General Data Analyst,110000
Analyst,General Data Analyst,75000
Analyst,Business Intelligence Data Analyst,150000
Analyst,Business Intelligence Data Analyst,93000
Engineer,General Data Engineer,46177
Engineer,Machine Learning Data Engineer,204500
Engineer,Machine Learning Data Engineer,142200
Scientist,General Data Scientist,204500
Scientist,General Data Scientist,126400
Engineer,Machine Learning Data Engineer,216000
Engineer,Machine Learning Data Engineer,184000
Analyst,General Data Analyst,139600
Analyst,General Data Analyst,85700
Scientist,General Data Scientist,100000
Scientist,General Data Scientist,128750
Scientist,General Data Scientist,79350
Analyst,General Data Analyst,73496
Analyst,General Data Analyst,67371
Scientist,General Data Scientist,185900
Scientist,General Data Scientist,129300
Analyst,General Data Analyst,174000
Analyst,General Data Analyst,134000
Engineer,General Data Engineer,155000
Engineer,General Data Engineer,125000
Engineer,Business Intelligence Data Engineer,185000
Engineer,Business Intelligence Data Engineer,79600
Engineer,General Data Engineer,194400
Engineer,General Data Engineer,132192
Engineer,Machine Learning Data Engineer,273400
Engineer,Machine Learning Data Engineer,182200
Analyst,General Data Analyst,165000
Analyst,General Data Analyst,142500
Scientist,General Data Scientist,213654
Scientist,General Data Scientist,142436
Engineer,General Data Engineer,124230
Engineer,General Data Engineer,68637
Engineer,General Data Engineer,204000
Engineer,General Data Engineer,161500
Engineer,Machine Learning Data Engineer,204500
